text,label,priority
routine light repair and maintenance needed,Electricity,Low
overflowing dustbin on street creating smell,Municipality,Medium
traffic sign damaged needs replacement,Police/Traffic,Low
old water line needs replacement soon,Water,Low
"mosquito breeding in stagnant water, dengue prevention needed",Health Department,Medium
fire safety signage needs replacement in mall,Fire,Low
fire extinguisher not available in government building,Fire,Medium
water meter requires servicing and calibration,Water,Low
health hazard due to animals and insects present nearby,Health Department,Medium
critical disease outbreak requiring emergency response,Health Department,High
broken sidewalk creating walking hazard for citizens,PWD,Medium
building on fire with people trapped inside,Fire,High
traffic sign damaged needs replacement Please take action,Police/Traffic,Low
road completely damaged affecting vehicle movement Please take action,PWD,High
Reported: fire exit door needs repair in office,Fire,Low
"light pole slightly tilted, needs straightening Please take action",Electricity,Low
dustbin requires replacement in area,Municipality,Low
sidewalk broken making it difficult for elderly and disabled Please take action,PWD,Medium
Reported: minor crack in transformer box,Electricity,Low
street light needs new bulb replacement,Electricity,Low
power supply irregular and unstable in area Please take action,Electricity,Medium
electrical burning smell in residential complex,Fire,Medium
critical crime incident requiring immediate response,Police/Traffic,High
sidewalk broken making it difficult for elderly & disabled,PWD,Medium
rash driving near school affecting student safety,Police/Traffic,Medium
reckless drunk driver causing accidents on highway,Police/Traffic,High
Reported: waste accumulation needing urgent collection and disposal,Municipality,Medium
"road marking faded, lines need repainting",Police/Traffic,Low
severe explosion hazard threatening surrounding buildings,Fire,High
street cleaning not done for weeks,Municipality,Medium
Reported: electrical burning smell in residential complex,Fire,Medium
fire exit door requires repair in office,Fire,Low
Reported: water leakage from main pipeline affecting entire neighborhood,Water,High
minor water pipe repair needed at street corner,Water,Low
water supply intermittent requiring urgent action,Water,Medium
potential fire risk due to electrical issue detected,Fire,Medium
routine park maintenance and beautification required,Municipality,Low
Reported: routine road marking and sign maintenance,PWD,Low
critical road damage causing traffic accident risk,PWD,High
routine road marking and sign maintenance,PWD,Low
public area beautification needed,Municipality,Low
Reported: illegal construction on public land,Municipality,High
old water line requires replacement soon,Water,Low
severe garbage accumulation causing environmental & health emergency,Municipality,High
Reported: pest infestation near food storage area,Health Department,Medium
routine park maintenance & beautification required,Municipality,Low
sidewalk broken making it difficult for elderly and disabled Please take action,PWD,Medium
road needs regular maintenance and sweeping,PWD,Low
unhygienic food preparation in restaurant causing health risk Please take action,Health Department,High
sanitation training program for food vendors,Health Department,Low
damaged road surface needing urgent patching & repair,PWD,Medium
park fence needs minor repair and maintenance,Municipality,Low
road surface deteriorated with multiple cracks,PWD,Medium
old water line needs replacement soon,Water,Low
pharmacy selling expired medicines illegally,Health Department,Medium
severe subsidence on road near government building,PWD,High
rash driving near school affecting student safety,Police/Traffic,Medium
Reported: drainage pipe choked causing water accumulation,Water,Medium
electricity meter not recording consumption properly,Electricity,Medium
water pipe partially damaged causing wastage,Water,Medium
emergency sewage overflow creating hazardous condition,Water,High
tree branches hanging dangerously near road,Municipality,Medium
Reported: street sign installation for park entrance,Municipality,Low
power supply irregular and unstable in area,Electricity,Medium
broken electric meter near market area Please take action,Electricity,Medium
malaria cases reported in residential area,Health Department,Medium
severe pothole hazard causing vehicle damage and accidents,PWD,High
Reported: critical waste management crisis threatening public health,Municipality,High
routine light repair and maintenance needed,Electricity,Low
garbage accumulation causing disease outbreak,Municipality,High
pest control needed for rat infestation urgently,Health Department,Medium
Reported: health awareness poster placement needed,Health Department,Low
food poisoning outbreak in locality causing hospitalizations,Health Department,High
emergency traffic situation with multiple vehicle collision,Police/Traffic,High
Reported: smoke coming from basement of office building,Fire,Medium
"mosquito breeding in stagnant water, dengue prevention needed",Health Department,Medium
